product_family,product_name,product_price,product_brand,product_link
Herramientas Electricas,Rotomartillo SDS Plus Einhell TE-RH 32 1.250 W,114800,Einhell,https://herramientas.cl/ficha/577293/rotomartillo-sds-plus-einhell-te-rh-32-1250-w
Herramientas Electricas,Esmeril Angular Einhell TE-AG 125 CE 1.100 W,36700,Einhell,https://herramientas.cl/ficha/577300/esmeril-angular-einhell-te-ag-125-ce-1100-w
Estacionarias,Sierra De Banco Einhell TC-TS 2025 2.000 W,123900,Einhell,https://herramientas.cl/ficha/577338/sierra-de-banco-einhell-tc-ts-2025-2000-w
Estacionarias,Esmeril Seco Y Húmedo Einhell TC-WD 150-200 250 W,44600,Einhell,https://herramientas.cl/ficha/577327/esmeril-seco-y-humedo-einhell-tc-wd-150-200-250-w
Estacionarias,Pedestal Para Taladro Einhell 49777800 Ø 43 mm.,37480,Einhell,https://herramientas.cl/ficha/588466/pedestal-para-taladro-einhell-49777800-43-mm
Estacionarias,Sierra De Banco Fuel Milwaukee 2736-20 M18,535640,Milwaukee,https://herramientas.cl/ficha/611600/sierra-de-banco-fuel-milwaukee-2736-20-m18
Herramientas Electricas,Rebajadora Einhell TE-RO 55 KIT 1.200 W,70600,Einhell,https://herramientas.cl/ficha/577302/rebajadora-einhell-te-ro-55-kit-1200-w
Herramientas Electricas,Sierra Circular Einhell TH-CS 1600 1.500 W,45900,Einhell,https://herramientas.cl/ficha/588213/sierra-circular-einhell-th-cs-1600-1500-w
Herramientas Electricas,Herramienta Multifunción Einhell TE-MG 200 CE 200 W,42600,Einhell,https://herramientas.cl/ficha/577304/herramienta-multifuncion-einhell-te-mg-200-ce-200-w
Herramientas Electricas,Herramienta Multipropósito Einhell TC-MG 135 E 135 W,32100,Einhell,https://herramientas.cl/ficha/588477/herramienta-multiproposito-einhell-tc-mg-135-e-135-w
Herramientas Electricas,Lijadora Orbital Einhell TE-OS 2520 250 W,48900,Einhell,https://herramientas.cl/ficha/577306/lijadora-orbital-einhell-te-os-2520-250-w
Estacionarias,Cepillo Canteador Einhell TC-SP 204 1.500 W,234860,Einhell,https://herramientas.cl/ficha/587898/cepillo-canteador-einhell-tc-sp-204-1500-w
Estacionarias,Sierra Caladora de Banco Einhell TH-SS 405 EL 120 W,97100,Einhell,https://herramientas.cl/ficha/577345/sierra-caladora-de-banco-einhell-th-ss-405-el-120-w
Estacionarias,Sierra de Huincha Einhell TC-SB 200/1 250 W,93900,Einhell,https://herramientas.cl/ficha/598105/sierra-de-huincha-einhell-tc-sb-2001-250-w
Estacionarias,Torno de Madera Einhell TC-WW 1000 350 W,114800,Einhell,https://herramientas.cl/ficha/577343/torno-de-madera-einhell-tc-ww-1000-350-w
Estacionarias,Esmeril de Banco Einhell TH-US 240 240 W,47900,Einhell,https://herramientas.cl/ficha/577328/esmeril-de-banco-einhell-th-us-240-240-w
Herramientas Electricas,Lijadora de Muro Einhell TE-DW 180 1.300W,114800,Einhell,https://herramientas.cl/ficha/610324/lijadora-de-muro-einhell-te-dw-180-1300w
Estacionarias,Lijadora de Banco Disco Einhell TC-US 400 375 W,105900,Einhell,https://herramientas.cl/ficha/588424/lijadora-de-banco-disco-einhell-tc-us-400-375-w
Estacionarias,Ingleteadora Dw714 + Lijadora Dwe6421 Dewalt DW714-PROMO 1650W,299900,Dewalt,https://herramientas.cl/ficha/605748/ingleteadora-dw714-lijadora-dwe6421-dewalt-dw714-promo-1650w
Instrumentos de Medición,Nivel de Aluminio Total TMT2806 80cm,10710,Total,https://herramientas.cl/ficha/614510/nivel-de-aluminio-total-tmt2806-80cm
Instrumentos de Medición,Nivel de Aluminio Total TMT28016 80cm,4980,Total,https://herramientas.cl/ficha/614508/nivel-de-aluminio-total-tmt28016-80cm
Instrumentos de Medición,Nivel de Aluminio con Imán Total TMT20605M 60cm,10860,Total,https://herramientas.cl/ficha/614506/nivel-de-aluminio-con-iman-total-tmt20605m-60cm
Instrumentos de Medición,Nivel de Aluminio Total TMT2406 40cm (3 Aguas),5950,Total,https://herramientas.cl/ficha/614504/nivel-de-aluminio-total-tmt2406-40cm-3-aguas
Instrumentos de Medición,Nivel de Aluminio Total TMT24016 40cm (3 Aguas),3120,Total,https://herramientas.cl/ficha/614502/nivel-de-aluminio-total-tmt24016-40cm-3-aguas
Instrumentos de Medición,Nivel de Agua Total TMT23016 30cm (3 Aguas),2830,Total,https://herramientas.cl/ficha/614500/nivel-de-agua-total-tmt23016-30cm-3-aguas
Instrumentos de Medición,Nivel de Aluminio Total TMT21506 150cm (3 Aguas),15770,Total,https://herramientas.cl/ficha/614498/nivel-de-aluminio-total-tmt21506-150cm-3-aguas
Instrumentos de Medición,Nivel de Aluminio con Iman Total TMT21005M 100cm (3 Aguas),15320,Total,https://herramientas.cl/ficha/614494/nivel-de-aluminio-con-iman-total-tmt21005m-100cm-3-aguas
Instrumentos de Medición,Nivel de Aluminio con Imán Total TMT20405M 40cm (3 Aguas),7440,Total,https://herramientas.cl/ficha/614503/nivel-de-aluminio-con-iman-total-tmt20405m-40cm-3-aguas
Instrumentos de Medición,Nivel de Aluminio con Imán Total TMT21205M 120cm,18070,Total,https://herramientas.cl/ficha/614496/nivel-de-aluminio-con-iman-total-tmt21205m-120cm
Instrumentos de Medición,Nivel para Trabajo Pesado Total TMT221606 60CM,12790,Total,https://herramientas.cl/ficha/614511/nivel-para-trabajo-pesado-total-tmt221606-60cm
Instrumentos de Medición,Medidor Distancia Láser GLM 40 + Juguete Bosch GLM40,62990,Bosch,https://herramientas.cl/ficha/614781/medidor-distancia-laser-glm-40-juguete-bosch-glm40-
Herramientas Manuales,Llave Crique 45T SATA GL13972EM 1/2 Pulgada,9790,SATA,https://herramientas.cl/ficha/587623/llave-crique-45t-sata-gl13972em-12-pulgada
Herramientas Manuales,Juego de Herramientas Uyustools FWYY-TMX 123 Piezas,52170,Uyustools,https://herramientas.cl/ficha/592794/juego-de-herramientas-uyustools-fwyy-tmx-123-piezas
Herramientas Manuales,Set Cortador de Varillas Makita SC09002890 Para DSC250,126830,Makita,https://herramientas.cl/ficha/600238/set-cortador-de-varillas-makita-sc09002890-para-dsc250
Herramientas Manuales,Alicate Aislado Media Caña SATA ST70041BST 6 Pulgadas,2900,SATA,https://herramientas.cl/ficha/587521/alicate-aislado-media-cana-sata-st70041bst-6-pulgadas
Herramientas Manuales,Tijera de Aviación Izquierdo SATA ST93101ST 10 Pulgadas,6020,SATA,https://herramientas.cl/ficha/588502/tijera-de-aviacion-izquierdo-sata-st93101st-10-pulgadas
Herramientas Manuales,Eslinga de Seguridad Bahco 8 Metros,16630,Bahco,https://herramientas.cl/ficha/596832/eslinga-de-seguridad-bahco-8-metros
Herramientas Manuales,Lima Extra Slim Bahco 4-187-04-2-0 4 Pulgadas,3840,Bahco,https://herramientas.cl/ficha/596868/lima-extra-slim-bahco-4-187-04-2-0-4-pulgadas
Herramientas Manuales,Combo Mango de Fibra Uyustools 10 Lb,21730,Uyustools,https://herramientas.cl/ficha/605491/combo-mango-de-fibra-uyustools-10-lb
Herramientas Manuales,Plana Lengüeta Mango de Fibra Total THT82716 7 Pulgadas,2310,Total,https://herramientas.cl/ficha/614534/plana-lengeta-mango-de-fibra-total-tht82716-7-pulgadas
Herramientas Manuales,Plana Lengüeta Mango Fibra Total THT82616 6 Pulgadas,2160,Total,https://herramientas.cl/ficha/614533/plana-lengeta-mango-fibra-total-tht82616-6-pulgadas
Herramientas Manuales,Napoleon 30 Pulgadas Total THT113306,24540,Total,https://herramientas.cl/ficha/614491/napoleon-30-pulgadas-total-tht113306-
Herramientas Manuales,Napoleon 18 Pulgadas Total THT113186,13540,Total,https://herramientas.cl/ficha/614489/napoleon-18-pulgadas-total-tht113186-
Linea Neumatica,Compresor vertical Gladiator CE 8200/220MV 3hp,447871,Gladiator,https://herramientas.cl/ficha/614751/compresor-vertical-gladiator-ce-8200220mv-3hp
Linea Neumatica,Compresor 200litros Gladiator CE 820/220/M/50/4 4hp,482657,Gladiator,https://herramientas.cl/ficha/614752/compresor-200litros-gladiator-ce-820220m504-4hp
Linea Neumatica,"Compresor 5,5hp Gladiator CE 8250/5,5/380T/50 250 litros",591355,Gladiator,https://herramientas.cl/ficha/614753/compresor-55hp-gladiator-ce-825055380t50-250-litros
Linea Neumatica,Compresor 5.5 hp en V Everest CEV55250 250 litros 380v,607782,Everest,https://herramientas.cl/ficha/614754/compresor-55-hp-en-v-everest-cev55250-250-litros-380v
Linea Neumatica,Compresor 7.5hp Gladiator CE 8300/7.5/380T/50 300 litros,730499,Gladiator,https://herramientas.cl/ficha/614755/compresor-75hp-gladiator-ce-830075380t50-300-litros
Linea Neumatica,Motocompresor 24 litros ENERGY C 24/25 1.5 hp,86560,ENERGY,https://herramientas.cl/ficha/614756/motocompresor-24-litros-energy-c-2425-15-hp
Linea Neumatica,Motocompresor 100 litros Everest ME-100 3 hp 220V,275628,Everest,https://herramientas.cl/ficha/614757/motocompresor-100-litros-everest-me-100-3-hp-220v
Linea Neumatica,Motocompresor 24 litros Gladiator CE 624/220M 2 hp,101309,Gladiator,https://herramientas.cl/ficha/614758/motocompresor-24-litros-gladiator-ce-624220m-2-hp
