product_name,product_price,product_brand,product_link
Taladro Percutor Einhell TE-ID 500 E 550 W,27500,Einhell,https://herramientas.cl/ficha/587731/taladro-percutor-einhell-te-id-500-e-550-w
Taladro Percutor Einhell RT-ID 65/1 650 W,36700,Einhell,https://herramientas.cl/ficha/577289/taladro-percutor-einhell-rt-id-651-650-w
Rotomartillo SDS Plus Einhell TE-RH 32 1.250 W,114800,Einhell,https://herramientas.cl/ficha/577293/rotomartillo-sds-plus-einhell-te-rh-32-1250-w
Esmeril Angular Einhell TE-AG 125 CE 1.100 W,36700,Einhell,https://herramientas.cl/ficha/577300/esmeril-angular-einhell-te-ag-125-ce-1100-w
Rebajadora Einhell TE-RO 55 KIT 1.200 W,70600,Einhell,https://herramientas.cl/ficha/577302/rebajadora-einhell-te-ro-55-kit-1200-w
Sierra Circular Einhell TH-CS 1600 1.500 W,45900,Einhell,https://herramientas.cl/ficha/588213/sierra-circular-einhell-th-cs-1600-1500-w
Herramienta Multifunción Einhell TE-MG 200 CE 200 W,42600,Einhell,https://herramientas.cl/ficha/577304/herramienta-multifuncion-einhell-te-mg-200-ce-200-w
Herramienta Multipropósito Einhell TC-MG 135 E 135 W,32100,Einhell,https://herramientas.cl/ficha/588477/herramienta-multiproposito-einhell-tc-mg-135-e-135-w
Lijadora Orbital Einhell TE-OS 2520 250 W,48900,Einhell,https://herramientas.cl/ficha/577306/lijadora-orbital-einhell-te-os-2520-250-w
Lijadora de Muro Einhell TE-DW 180 1.300W,114800,Einhell,https://herramientas.cl/ficha/610324/lijadora-de-muro-einhell-te-dw-180-1300w
Pistola Para Pintar Einhell TC-SY 700 S 700 W,46900,Einhell,https://herramientas.cl/ficha/598104/pistola-para-pintar-einhell-tc-sy-700-s-700-w
Pulidora Einhell CC-PO 1100 2E 1.100 W,54900,Einhell,https://herramientas.cl/ficha/610309/pulidora-einhell-cc-po-1100-2e-1100-w
Kit Taladro + Accesorios Einhell TC-ID 650 E KIT 650 W,36700,Einhell,https://herramientas.cl/ficha/597109/kit-taladro-accesorios-einhell-tc-id-650-e-kit-650-w
Kit Taladro + Accesorios Einhell TC-ID 1000 E KIT 1.010 W,36700,Einhell,https://herramientas.cl/ficha/599924/kit-taladro-accesorios-einhell-tc-id-1000-e-kit-1010-w
Rotomartillos con Accesorios Einhell TC-RH 32 KIT 900 W,88300,Einhell,https://herramientas.cl/ficha/577292/rotomartillos-con-accesorios-einhell-tc-rh-32-kit-900-w
Rotomartillo Einhell TE-RH 26/1 4F 800 W,54000,Einhell,https://herramientas.cl/ficha/599923/rotomartillo-einhell-te-rh-261-4f-800-w
Kit Rotomartillo Einhell TC-RH 900 900 W,79400,Einhell,https://herramientas.cl/ficha/610419/kit-rotomartillo-einhell-tc-rh-900-900-w
Esmeril Angular Einhell TE-AG 180 DP 2.300 W,70600,Einhell,https://herramientas.cl/ficha/577301/esmeril-angular-einhell-te-ag-180-dp-2300-w
Taladro Magnetico (vacías) MAG 50 12.9 kg,1377900,(vacías),https://herramientas.cl/ficha/587447/taladro-magnetico-vacias-mag-50-129-kg
Lijadora Orbital Gladiator LO613 250W,25350,Gladiator,https://herramientas.cl/ficha/613341/lijadora-orbital-gladiator-lo613-250w
Esmeril Angular Makita-Mt M9507G 115mm,34570,Makita-Mt,https://herramientas.cl/ficha/589112/esmeril-angular-makita-mt-m9507g-115mm
