product_brand,product_name,product_price,product_link
Total Tools,"Sierra de Banco Industrial 1500W 10"" Total Tools TS5152542",371890,https://www.toolmania.cl/sierras-de-banco/sierra-de-banco-industrial-1500w-10-total-tools-ts5152542-11164.html
Makita,"Cortadora de Concreto Angular 14"" (355 mm) Makita 4114S",651590,https://www.toolmania.cl/cortadoras-de-pavimento/makita-cortadora-de-concreto-angular-14-355-mm-cod-4114s-6.html
Makita,Vibrador de Concreto 2200W VR1000 + Eje Flexible 3.5M Makita VR1000 - 2,559990,https://www.toolmania.cl/otras/vibrador-de-concreto-2200w-vr1000-eje-flexible-35m-makita-vr1000-2-8790.html
Total Tools,Taladro Percutor 13mm 750W Total Tools TG108136,34390,https://www.toolmania.cl/taladros/taladro-percutor-13mm-750w-total-tools-tg108136-8916.html
Total Tools,Rotomartillo SDS-MAX 1200W Total Tools TH112386,193890,https://www.toolmania.cl/rotomartillos/rotomartillo-sds-max-1200w-total-tools-th112386-8918.html
Total Tools,Esmeril Angular 125mm (5”) 1010W Total Tools TG1121256,41540,https://www.toolmania.cl/esmeriles/esmeril-angular-125mm-5-1010w-total-tools-tg1121256-8923.html
Total Tools,Sierra Caladora 800W Total Tools TS2081006,51090,https://www.toolmania.cl/sierras-caladoras/sierra-caladora-800w-total-tools-ts2081006-8929.html
Total Tools,Lijadora Orbital Rectangular 110 x 220mm 350W Total Tools TF1302206,69990,https://www.toolmania.cl/lijadoras/lijadora-orbital-rectangular-110-x-220mm-350w-total-tools-tf1302206-8932.html
Total Tools,Fresadora 2200W Total Tools TR11122,130790,https://www.toolmania.cl/fresadoras/fresadora-2200w-total-tools-tr11122-8939.html
Makita,Cepillo Eléctrico 155 mm Makita 1805N,560450,https://www.toolmania.cl/cepillos-electricos/cepillo-electrico-155-mm-makita-1805n-9173.html
